Category,Partner Website/Brand,Coupon Amount,Rewards Percentage,Discount,Offer Summary,Terms and Condition,Offers Name,How to Use,Special Award,Festival Name,Tag,Offer Summary Cleaned,Offer Summary Normalized,Context Info,Personalized Offer,Formatted Email,Formatted Tweet,Formatted Blog,Formatted Push,Validated Offer
Dining,Zomato,2500,25,500 Off,Special Eid Offer: Get exciting discounts on your favorite brands.,Valid for online purchase only.,Mega Cashback Offer,Use code at partner website.,Yes,Eid,redemption,special eid offer get exciting discounts favorite brands,special did offer get exciting discount favorite bands from Zomato,"{'entities': {'Zomato': 'PERSON'}, 'sentiment': 0.3857142857142857, 'keywords': ['special', 'offer', 'get', 'exciting', 'discount', 'favorite', 'bands', 'Zomato']}",Exclusive Dining offer from Zomato! special did offer get exciting discount favorite bands from Zomato Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Zomato! special did offer get exciting discount favorite bands from Zomato Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Zomato! special did offer get exciting discount favorite bands from Zomato Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Zomato! special did offer get exciting discount favorite bands from Zomato Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Zomato! special did of,Exclusive Dining offer from Tomato! special did offer get exciting discount favorite bands from Tomato Haste the best with premium dining discount.
Home Needs,Flipkart,1500,20,Buy 1 Get 1 Free,Get exciting discounts on your favorite brands.,Terms and conditions apply as per the brand.,Mega Cashback Offer,Show QR code at store.,No,,payment,get exciting discounts favorite brands,get exciting discount favorite bands from Flipkart,"{'entities': {'Flipkart': 'ORG'}, 'sentiment': 0.4, 'keywords': ['get', 'exciting', 'discount', 'favorite', 'bands', 'Flipkart']}",Exclusive Home Needs offer from Flipkart! get exciting discount favorite bands from Flipkart ,"Dear Valued Customer,

Exclusive Home Needs offer from Flipkart! get exciting discount favorite bands from Flipkart 

Best Regards,
Your Bank",Exclusive Home Needs offer from Flipkart! get exciting discount favorite bands from Flipkart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from Flipkart! get exciting discount favorite bands from Flipkart </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from Flipkart! get exci,Exclusive Some Needs offer from Flipkart! get exciting discount favorite bands from Flipkart 
Electronics,Croma,500,15,Buy 1 Get 1 Free,Earn reward points with every purchase.,Valid for online purchase only.,Flash Sale Special,Discount auto-applied on cart.,No,,redemption,earn reward points every purchase,earn reward points every purchase from Croma,"{'entities': {'Croma': 'ORG'}, 'sentiment': 0.0, 'keywords': ['earn', 'reward', 'points', 'every', 'purchase', 'Croma']}",Exclusive Electronics offer from Croma! earn reward points every purchase from Croma ,"Dear Valued Customer,

Exclusive Electronics offer from Croma! earn reward points every purchase from Croma 

Best Regards,
Your Bank",Exclusive Electronics offer from Croma! earn reward points every purchase from Croma  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Croma! earn reward points every purchase from Croma </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Croma! earn rewar,Exclusive Electronics offer from Aroma! earn reward points every purchase from Aroma 
Wellness,PharmEasy,2500,30,500 Off,Earn reward points with every purchase.,Applicable only on select products.,Reward Booster,Show QR code at store.,No,,reward,earn reward points every purchase,earn reward points every purchase from PharmEasy,"{'entities': {'PharmEasy': 'GPE'}, 'sentiment': 0.0, 'keywords': ['earn', 'reward', 'points', 'every', 'purchase', 'PharmEasy']}",Exclusive Wellness offer from PharmEasy! earn reward points every purchase from PharmEasy ,"Dear Valued Customer,

Exclusive Wellness offer from PharmEasy! earn reward points every purchase from PharmEasy 

Best Regards,
Your Bank",Exclusive Wellness offer from PharmEasy! earn reward points every purchase from PharmEasy  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from PharmEasy! earn reward points every purchase from PharmEasy </h2><p>Read more on our website...</p>,Exclusive Wellness offer from PharmEasy! earn rewa,Exclusive Illness offer from PharmEasy! earn reward points every purchase from PharmEasy 
Electronics,Flipkart,1500,30,200 Off,Get exciting discounts on your favorite brands.,Offer valid till stock lasts.,Super Saver Deal,Apply coupon at checkout.,No,,shopping,get exciting discounts favorite brands,get exciting discount favorite bands from Flipkart,"{'entities': {'Flipkart': 'ORG'}, 'sentiment': 0.4, 'keywords': ['get', 'exciting', 'discount', 'favorite', 'bands', 'Flipkart']}",Exclusive Electronics offer from Flipkart! get exciting discount favorite bands from Flipkart ,"Dear Valued Customer,

Exclusive Electronics offer from Flipkart! get exciting discount favorite bands from Flipkart 

Best Regards,
Your Bank",Exclusive Electronics offer from Flipkart! get exciting discount favorite bands from Flipkart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Flipkart! get exciting discount favorite bands from Flipkart </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Flipkart! get exc,Exclusive Electronics offer from Flipkart! get exciting discount favorite bands from Flipkart 
Wellness,CureFit,200,15,10% Off,Special Eid Offer: Limited time offer - grab now!,Offer valid till stock lasts.,Mega Cashback Offer,Apply coupon at checkout.,Yes,Eid,reward,special eid offer limited time offer grab,special did offer limited time offer grab from CureFit,"{'entities': {'CureFit': 'GPE'}, 'sentiment': 0.14285714285714285, 'keywords': ['special', 'offer', 'limited', 'time', 'offer', 'grab', 'CureFit']}",Exclusive Wellness offer from CureFit! special did offer limited time offer grab from CureFit ,"Dear Valued Customer,

Exclusive Wellness offer from CureFit! special did offer limited time offer grab from CureFit 

Best Regards,
Your Bank",Exclusive Wellness offer from CureFit! special did offer limited time offer grab from CureFit  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from CureFit! special did offer limited time offer grab from CureFit </h2><p>Read more on our website...</p>,Exclusive Wellness offer from CureFit! special did,Exclusive Illness offer from CureFit! special did offer limited time offer grab from CureFit 
Electronics,Flipkart,2500,40,10% Off,Limited time offer - grab now!,Terms and conditions apply as per the brand.,Super Saver Deal,Show QR code at store.,No,,spend,limited time offer grab,limited time offer grab from Flipkart,"{'entities': {'Flipkart': 'ORG'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'Flipkart']}",Exclusive Electronics offer from Flipkart! limited time offer grab from Flipkart ,"Dear Valued Customer,

Exclusive Electronics offer from Flipkart! limited time offer grab from Flipkart 

Best Regards,
Your Bank",Exclusive Electronics offer from Flipkart! limited time offer grab from Flipkart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Flipkart! limited time offer grab from Flipkart </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Flipkart! limited,Exclusive Electronics offer from Flipkart! limited time offer grab from Flipkart 
Wellness,PharmEasy,1500,30,100 Off,Limited time offer - grab now!,Offer valid till stock lasts.,Festive Bonanza,Redeem via mobile app.,No,,membership,limited time offer grab,limited time offer grab from PharmEasy,"{'entities': {'PharmEasy': 'GPE'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'PharmEasy']}",Exclusive Wellness offer from PharmEasy! limited time offer grab from PharmEasy ,"Dear Valued Customer,

Exclusive Wellness offer from PharmEasy! limited time offer grab from PharmEasy 

Best Regards,
Your Bank",Exclusive Wellness offer from PharmEasy! limited time offer grab from PharmEasy  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from PharmEasy! limited time offer grab from PharmEasy </h2><p>Read more on our website...</p>,Exclusive Wellness offer from PharmEasy! limited t,Exclusive Illness offer from PharmEasy! limited time offer grab from PharmEasy 
Wellness,PharmEasy,100,35,10% Off,Limited time offer - grab now!,Applicable only on select products.,Flash Sale Special,Discount auto-applied on cart.,No,,bonus,limited time offer grab,limited time offer grab from PharmEasy,"{'entities': {'PharmEasy': 'GPE'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'PharmEasy']}",Exclusive Wellness offer from PharmEasy! limited time offer grab from PharmEasy ,"Dear Valued Customer,

Exclusive Wellness offer from PharmEasy! limited time offer grab from PharmEasy 

Best Regards,
Your Bank",Exclusive Wellness offer from PharmEasy! limited time offer grab from PharmEasy  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from PharmEasy! limited time offer grab from PharmEasy </h2><p>Read more on our website...</p>,Exclusive Wellness offer from PharmEasy! limited t,Exclusive Illness offer from PharmEasy! limited time offer grab from PharmEasy 
Wellness,Apollo Pharmacy,2000,30,100 Off,Get exciting discounts on your favorite brands.,Applicable only on select products.,Super Saver Deal,Show QR code at store.,No,,reward,get exciting discounts favorite brands,get exciting discount favorite bands from Apollo Pharmacy,"{'entities': {'Apollo Pharmacy': 'ORG'}, 'sentiment': 0.4, 'keywords': ['get', 'exciting', 'discount', 'favorite', 'bands', 'Apollo', 'Pharmacy']}",Exclusive Wellness offer from Apollo Pharmacy! get exciting discount favorite bands from Apollo Pharmacy ,"Dear Valued Customer,

Exclusive Wellness offer from Apollo Pharmacy! get exciting discount favorite bands from Apollo Pharmacy 

Best Regards,
Your Bank",Exclusive Wellness offer from Apollo Pharmacy! get exciting discount favorite bands from Apollo Pharmacy  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from Apollo Pharmacy! get exciting discount favorite bands from Apollo Pharmacy </h2><p>Read more on our website...</p>,Exclusive Wellness offer from Apollo Pharmacy! get,Exclusive Illness offer from Apollo Pharmacy! get exciting discount favorite bands from Apollo Pharmacy 
Dining,KFC,500,20,20% Off,Special Diwali Offer: Limited time offer - grab now!,Offer valid till stock lasts.,Reward Booster,Discount auto-applied on cart.,Yes,Diwali,redemption,special diwali offer limited time offer grab,special dial offer limited time offer grab from KFC,"{'entities': {'KFC': 'ORG'}, 'sentiment': 0.14285714285714285, 'keywords': ['special', 'dial', 'offer', 'limited', 'time', 'offer', 'grab', 'KFC']}",Exclusive Dining offer from KFC! special dial offer limited time offer grab from KFC Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from KFC! special dial offer limited time offer grab from KFC Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from KFC! special dial offer limited time offer grab from KFC Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from KFC! special dial offer limited time offer grab from KFC Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from KFC! special dial offe,Exclusive Dining offer from KFC! special dial offer limited time offer grab from KFC Haste the best with premium dining discount.
Dining,McDonald's,2000,20,20% Off,Special discounts for loyal customers.,Applicable only on select products.,Mega Cashback Offer,Discount auto-applied on cart.,No,,bonus,special discounts loyal customers,special discount loyal customers from McDonald's,"{'entities': {""McDonald's"": 'ORG'}, 'sentiment': 0.34523809523809523, 'keywords': ['special', 'discount', 'loyal', 'customers', 'McDonald']}",Exclusive Dining offer from McDonald's! special discount loyal customers from McDonald's Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from McDonald's! special discount loyal customers from McDonald's Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from McDonald's! special discount loyal customers from McDonald's Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from McDonald's! special discount loyal customers from McDonald's Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from McDonald's! special di,Exclusive Dining offer from McDonald's! special discount loyal customers from McDonald's Haste the best with premium dining discount.
